#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
68,ADJECTIVES,superlatives,A2,N/A,FORM: WITH 'THE MOST',"Can form superlative adjective phrases using 'the most', with longer adjectives of two or more syllables. ","We love football competitions because here in Uruguay football is the most popular sport. (Uruguay; A2 WAYSTAGE; 2007; Spanish - Latin American; Pass)

It is the most famous place in Edinburgh and it is interesting too. (Hong Kong; A2 WAYSTAGE; 2001; Chinese; Pass)

The problem was that it was the most expensive mobile in the shop. (Spain; A2 WAYSTAGE; 2007; Catalan; Pass)"
69,ADJECTIVES,superlatives,B1,2,FORM/USE: COMPLEX NOUN PHRASES,"Can form an increasing range of complex noun phrases with a superlative adjective + prepositional phrase, to talk about something unique. ► noun phrases","Yesterday was the most exciting day of my life! (Italy; B1 THRESHOLD; 2008; Italian; Pass)

Well, exercise is undoubtedly the most important thing in our lives for our health. (Cyprus; B1 THRESHOLD; 2009; Greek; Pass)"
70,ADJECTIVES,superlatives,B1,N/A,FORM/USE: 'THE BEST' WITH NOUN AND PRESENT PERFECT,Can use 'the best' before a noun + present perfect to talk about a unique experience.,"It was the best birthday present I have ever had. (Iran; B1 THRESHOLD; 2003; Farsi; Pass)

That is the best game I've ever played. (Romania; B1 THRESHOLD; 2010; Hungarian; Pass)"
71,ADJECTIVES,superlatives,B1,N/A,FORM: 'ONE OF THE',"Can use 'one of the' before a superlative adjective, followed by a plural noun. ► noun phrases","It was one of the best days of my life. (Colombia; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

I recommend that you should go to Akihabara, which is one of the most famous places in Tokyo. (Japan; B1 THRESHOLD; 2004; Japanese; Pass)"
72,ADJECTIVES,superlatives,B1,N/A,FORM: 'THE BEST' WITH NOUN AND  'TO-' INFINITIVE,Can use 'the best' before a noun + 'to'-infinitive.  ► clauses: comparative,"Summer is the best time to visit Poland. (Poland; B1 THRESHOLD; 2004; Polish; Pass)

I'm sorry but I'm afraid that I'm not the best person to ask about TV, because I'm up to my eyes at work and I don't have any time to spend watching TV. (Spain; B1 THRESHOLD; 2010; Spanish - European; Pass)"
73,ADJECTIVES,superlatives,B1,N/A,FORM: WITH DETERMINERS,Can form noun phrases with a range of determiners before a superlative adjective. ► noun phrases,"There, people wear their best clothes. (Spain; B1 THRESHOLD; 2006; Spanish - European; Pass)

Tomorrow I'm expecting a delivery of our latest catalogues. (Germany; B1 THRESHOLD; 2010; German; Pass)"
74,ADJECTIVES,superlatives,B2,N/A,FORM/USE: WITH 'BY FAR',Can use the premodifer 'by far' to make a superlative adjective stronger.,"As you know, I've already visited almost fifty forests all over the world but I think this one is by far the most beautiful of all. (Brazil; B2 VANTAGE; 1993; Portuguese; Pass)

When I was a child, Christmas morning was by far the most exciting and happiest moment. (Japan; B2 VANTAGE; 1993; Japanese; Pass)"
75,ADJECTIVES,superlatives,B2,2,"FORM: ELLIPSIS, WITH 'THE'","Can use '(one of) the' with an increasing range of superlative adjectives without a following noun, when the noun is understood.","There have been so many embarrassing moments in my life. It's very difficult to pick the most embarrassing. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

I'm not quite sure if I agree that the car is the greatest danger to human life today, but it sure is one of the greatest. (Portugal; B2 VANTAGE; 1993; Portuguese; Pass)

That period of my life was one of the worst . (Singapore; B2 VANTAGE; 2000; Chinese; Pass)"
76,ADJECTIVES,superlatives,B2,N/A,FORM: WITH NOUN AND 'TO-' INFINITIVE,Can use superlative adjectives before a noun + 'to'-infinitive. ► clauses: comparative,"To be honest, I think that, to be in competition with other markets, we need to be updated and the easiest way to do it is to use computers. (Italy; B2 VANTAGE; 1999; Italian; Pass)

For those people who don't work and can't afford a car, a bicycle is perhaps the cheapest way to travel in the city. (Spain; B2 VANTAGE; 1993; Catalan; Pass)"
77,ADJECTIVES,superlatives,C1,N/A,FORM/USE: WITH NOUN AND POSTMODFIER,Can use a postmodifier to make the superlative stronger in the structure superlative + postmodifier + noun.,"What is more, in order to increase sales of the new model to the highest possible level, the possibility of entering the Asian markets should be considered. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Polish; Fail)

I am fond of the idea of working in Central London. It absolutely is the best possible location , I cannot deny that. (Serbian, C1 EFFECTIVE OPERATIONAL PROFICIENCY, Pass, 2008)

It is not the shortest possible route, but the easiest for people with luggage. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Polish; Fail)"
78,ADJECTIVES,superlatives,C1,N/A,FORM/USE: WITH POSTMODFIER AND NOUN,"Can use a postmodifier to make the superlative stronger, in the structure superlative + noun + postmodifier ('possible', 'ever', 'by far'). ","… we want to present ourselves in the best way possible. (Yugoslavia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Serbian; Pass)

…this cleansing gel will definitely produce good results in the shortest time possible. (Malaysia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Chinese; Pass)

Achieving health by using her common sense and having fun while doing it is probably her greatest performance ever and, if elected, she could share that with the world. (Sweden; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Swedish; Pass)"
79,ADJECTIVES,superlatives,C2,N/A,"FORM/USE: 'SLIGHTEST', 'FAINTEST'","Can use 'the slightest', 'the faintest' with a specific range of nouns to express the least amount possible, most frequently following a negative verb form.","I should not end my relationship with Alex by phone, without giving him the slightest explanation. (Greece; C2 MASTERY; 1993; Greek; Pass)

They act as consumers, nothing more, and never show the slightest interest in learning and sharing opinions with the locals. (France; C2 MASTERY; 1993; French; Pass)

I haven't the faintest idea. (Netherlands; C2 MASTERY; 2000; Dutch; Pass)"
80,ADVERBS,adverbs as modifiers,A1,N/A,USE: TIME,"Can use 'soon' in the phrases 'See you soon' and 'Get well soon', as a signing-off device. ","Take care. See you soon. (A1 BREAKTHROUGH; 2009; Turkish; Pass)

Get well soon. (A1 BREAKTHROUGH; 2009; Polish; Pass)"
81,ADVERBS,adverbs as modifiers,A1,1,USE: PLACE,"Can use a limited range of adverbs ('here', 'there') to indicate place. ","My girlfriend is here with me. (A1 BREAKTHROUGH; 2007; Slovak; Pass)

I was born there and I lived there over twenty years. (A1 BREAKTHROUGH; 2007; Spanish - Other; Pass)

I go there every year with my friends. (A1 BREAKTHROUGH; 2011; Bulgarian; Pass)"
82,ADVERBS,adverbs as modifiers,A1,1,USE: FREQUENCY,"Can use a limited range of adverbs ('always', 'sometimes') to talk about frequency.","I like Dorchester's people, they are always very friendly and polite. (A1 BREAKTHROUGH; 2007; Russian; Pass)

I always see Safora because she lives near my home. (A1 BREAKTHROUGH; 2006; Farsi; Pass)

Sometimes I go to the beach. (A1 BREAKTHROUGH; 2011; Arabic - Other; Pass)"
83,ADVERBS,adverbs as modifiers,A1,N/A,USE: 'VERY' WITH ADJECTIVES,Can use 'very' to make adjectives stronger.,"He's a very good man. (A1 BREAKTHROUGH; 2006; Mandarin; Pass)

I'm very happy in my home. (A1 BREAKTHROUGH; 2009; Spanish - Latin American; Pass)"
84,ADVERBS,adverbs as modifiers,A1,N/A,USE: DEGREE WITH VERBS,"Can use 'really' and 'very much' with verbs expressing preference ('like', 'love'), for emphasis.","I really like theatre and a classical music. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

I really love my space! (A1 BREAKTHROUGH; 2009; Portuguese; Pass)

I like my garden very much. (A1 BREAKTHROUGH; 2009; Bengali; Pass)"
85,ADVERBS,adverbs as modifiers,A2,1,USE: TIME,"Can use a limited range of adverbs ('yesterday', 'just', 'now', 'already',) to refer to the timing of an event. ","Yesterday I went shopping. (Hungary; A2 WAYSTAGE; 2008; Hungarian; Pass)

I've just seen your mail. (France; A2 WAYSTAGE; 2007; French; Pass)

I am working very hard now because I want to earn some money. (A2 WAYSTAGE; 2007; Spanish - Latin American; Pass)

[talking about a film] I've already seen it. (Brazil; A2 WAYSTAGE; 2003; Portuguese; Pass)"
86,ADVERBS,adverbs as modifiers,A2,2,USE: FREQUENCY,"Can use an increasing range of adverbs ('usually', 'often', 'never', 'weekly') to talk about frequency.","People usually try to eat their breakfast between 7 and 9 am. (A2 Polish)

I have to pay weekly or monthly? (A2 WAYSTAGE; 2009; Portuguese; Pass)

I often go to the Shanghai Museum. (China; A2 WAYSTAGE; 2002; Chinese; Pass)

You never remember anything! (Spain; A2 WAYSTAGE; 2006; Catalan; Pass)"
87,ADVERBS,adverbs as modifiers,A2,1,"USE: DEGREE, WITH ADJECTIVES","Can use a limited range of degree adverbs ('so', 'quite', 'too') to modify adjectives. ","I went to Vinpearland. It's so beautiful. (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

It was quite expensive, it cost £100. (Spain; A2 WAYSTAGE; 2007; Spanish - European; Pass)

The weather was too hot. (India; A2 WAYSTAGE; 2009; Tamil; Pass)"
88,ADVERBS,adverbs as modifiers,A2,1,USE: DEGREE WITH VERBS,"Can use a limited range of adverbs and adverb phrases ('so much', 'a lot') with verbs to indicate degree or intensity. ► determiners","I am looking forward to seeing you so much! (A2 WAYSTAGE; 2006; Japanese; Pass)

We listened to music and we danced a lot too. (Uruguay; A2 WAYSTAGE; 2004; Spanish - Latin American; Pass)"
89,ADVERBS,adverbs as modifiers,A2,1,USE: MANNER,Can use a limited range of manner adverbs and adverb phrases to modify how something happens.,"… both the players played well. (India; A2 WAYSTAGE; 2007; Tamil; Pass)

You must go straight, then turn left. (Italy; A2 WAYSTAGE; 2009; Italian; Pass)

Some of them can swim very fast. (Malaysia; A2 WAYSTAGE; 2007; Chinese; Pass)

[talking about a bike] It's very colourfull, and it goes very quickly. (France; A2 WAYSTAGE; 2004; French; Pass)"
90,ADVERBS,adverbs as modifiers,A2,1,USE: LINKING,"Can use a limited range of adverbs ('also', 'so', 'however') to show a relationship between two clauses or sentences. ","I also bought some t-shirts. (Cyprus; A2 WAYSTAGE; 2008; Greek; Pass)

[talking about paint] I don't like green, so I decided to use blue, could you help me to paint my room? (Brazil; A2 WAYSTAGE; 2006; Portuguese; Pass)

Yesterday I bought some clothes: trousers and skirts … However, the clothes were cheap. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)"
91,ADVERBS,adverbs as modifiers,A2,1,USE: FOCUS,"Can use a limited range of adverbs ('only', 'just') to focus on or point to something.","[talking about  a class] It's only two hours. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)

It was only €70. It is pink. it looks very nice. (Turkey; A2 WAYSTAGE; 2007; Turkish; Pass)

It was just £15. (Japan; A2 WAYSTAGE; 2007; Japanese; Pass)"
92,ADVERBS,adverbs as modifiers,A2,1,USE: SEQUENCING,"Can use a limited range of adverbs and adverb phrases ('first', 'then', 'after that') to order segments of discourse.","
First we had a dinner in a very expensive restaurant, then we went to a disco. (Italy; A2 WAYSTAGE; 2004; Italian; Pass)

We can meet at 6 pm at my house, and then we can get to the sports centre by bus. (China; A2 WAYSTAGE; 2008; Chinese; Pass)

[talking about a children's party games] First, we played housie and blind man's bluff. After that a magician showed us a lot of magic tricks. (India; A2 WAYSTAGE; 2004; Gujarati; Pass)
"
93,ADVERBS,adverbs as modifiers,A2,1,USE: CERTAINTY,"Can use a limited range of adverbs ('maybe', 'perhaps') to indicate degrees of certainty. ","Or maybe we can walk to there, because it's not far from my house. (China; A2 WAYSTAGE; 2008; Chinese; Pass)

Perhaps I left it in your living room. (Czech Republic; A2 WAYSTAGE; 2005; Czech; Pass)"
94,ADVERBS,adverbs as modifiers,A2,1,USE: STANCE,"Can use a limited range of adverbs ('actually', 'unfortunately', 'of course', 'I’m sorry') to indicate an attitude or viewpoint. ","It's very nice that you're going to help me to paint my bedroom. Actually I want you to decide what colour that my room should be. (Thai, A2 WAYSTAGE, Pass, 2006)

Unfortunately, my team lost. (Others, A2 WAYSTAGE, Pass, 2004)

[talking about a watch] It costs €450 and of course it is black. You know black is my favorite color. (Turkish, A2 WAYSTAGE, Pass, 2007)

I'm sorry you can't find it. (Greek, A2 WAYSTAGE, Pass, 2006)"
95,ADVERBS,adverbs as modifiers,B1,2,USE: TIME,Can use an increasing range of adverbs to refer to the timing of an event.,"Dear Kate, I went to the cinema with a new friend recently. (Brazil; B1 THRESHOLD; 2002; Portuguese; Pass)

I immediately called her to see if everything was O.K. (Italy; B1 THRESHOLD; 2008; Italian; Pass)"
96,ADVERBS,adverbs as modifiers,B1,2,USE: PLACE,"Can use an increasing range of adverbs and adverb phrases ('near', 'far away', 'upstairs', 'downstairs') to indicate place. ","You can't go far away because I don't think your parents want to pay for it. (Netherlands; B1 THRESHOLD; 2008; Dutch; Pass)

He went downstairs. (Iran; B1 THRESHOLD; 2004; Farsi; Pass)

After the film we went to a shop nearby for lunch and after that we went to a park and played all sorts of games. (Sri Lanka; B1 THRESHOLD; 2002; Singhalese; Pass)"
97,ADVERBS,adverbs as modifiers,B1,2,USE: DEGREE WITH VERBS,"Can use an increasing range of degree adverbs ('a little', 'a bit') with verbs to indicate degree or intensity. ► determiners","When I came to England, one year ago, I didn't know any English word, now I'm very happy because I don't speak very well but I can understand and speak a little. (Sri Lanka; B1 THRESHOLD; 2002; Mongolian; Pass)

I suggest you to take a little break of about one minute between hours and walk to relax a bit. (Uruguay; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

I go to bed and I read just a little bit. (Italy; B1 THRESHOLD; 2005; Italian; Pass)"
98,ADVERBS,adverbs as modifiers,B1,N/A,"USE: DEGREE, 'REALLY REALLY'",Can use 'really really' with verbs and adjectives for emphasis.,"Oh, I really really like her very friendly and lovely smile. (Vietnam; B1 THRESHOLD; 2009; Vietnamese; Pass)

I am not keen on football so, I think it is really really borring. (France; B1 THRESHOLD; 2010; French; Pass)"
99,ADVERBS,adverbs as modifiers,B1,2,USE: MANNER,Can use an increasing range of manner adverbs and adverb phrases to modify how something happens.,"They are like my sisters. We go everywhere together. (Argentina; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

You are a sweet and caring guy and wherever you'll go, you'll fit in easily! (Lebanon; B1 THRESHOLD; 2008; Arabic - Levant; Pass)

Of course you have to eat carefully. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)

Then I took a knife and opened it very carfully and slowly like there was something breakable in it. (Germany; B1 THRESHOLD; 2008; German; Pass)"
100,ADVERBS,adverbs as modifiers,B1,2,USE: LINKING,"Can use an increasing range of adverbs ('therefore', 'furthermore', 'otherwise') to show a relationship between two clauses or sentences. ","You don't like city's with a lot of people. Therefore I suggest you go to a small school in the countryside, near your new home. (Switzerland; B1 THRESHOLD; 2008; French; Pass)

I decided to join these classes because I have to improve my reading, writing and speaking in English. Furthermore I want to write my thesis in an English-speaking country next year. (Austria; B1 THRESHOLD; 2002; German; Pass).

Please let me know if you can collect it otherwise I will ask my other Turkish friend. (B1 THRESHOLD; 2009; Turkish; Pass)"
