No.,级别,词语,拼音,词性
2763,六级,工商,gōngshāng,名
2764,高等,工商界,gōngshāngjiè,名
2765,高等,工序,gōngxù,名
2766,三级,工业,gōngyè,名
2767,五级,工艺,gōngyì,名
2768,高等,工整,gōngzhěng,形
2769,三级,工资,gōngzī,名
2770,一级,工作,gōngzuò,动、名
2771,高等,工作量,gōngzuòliàng,名
2772,五级,工作日,gōngzuòrì,名
2773,高等,弓,gōng,名
2774,六级,公,gōng,形
2775,六级,公安,gōng’ān,名
2776,高等,公安局,gōng’ānjú,名
2777,三级,公布,gōngbù,动
2778,高等,公车,gōngchē,名
2779,高等,公道,gōngdao,形
2780,高等,公费,gōngfèi,名
2781,五级,公告,gōnggào,名
2782,三级,公共,gōnggòng,形
2783,高等,公共场所,gōnggòng chǎngsuǒ,
2784,二级,公共汽车,gōnggòng qìchē,
2785,高等,公关,gōngguān,名
2786,高等,公函,gōnghán,名
2787,六级,公鸡,gōngjī,名
2788,高等,公积金,gōngjījīn,名
2789,二级,公交车,gōngjiāochē,名
2790,二级,公斤,gōngjīn,量
2791,三级,公开,gōngkāi,形、动
2792,高等,公开信,gōngkāixìn,名
2793,高等,公款,gōngkuǎn,名
2794,二级,公里,gōnglǐ,量
2795,高等,公立,gōnglì,形
2796,二级,公路,gōnglù,名
2797,三级,公民,gōngmín,名
2798,高等,公墓,gōngmù,名
2799,二级,公平,gōngpíng,形
2800,高等,公仆,gōngpú,名
2801,高等,公顷,gōngqǐng,量
2802,高等,公然,gōngrán,副
2803,五级,公认,gōngrèn,动
2804,高等,公示,gōngshì,动
2805,五级,公式,gōngshì,名
2806,高等,公事,gōngshì,名
2807,二级,公司,gōngsī,名
2808,高等,公务,gōngwù,名
2809,三级,公务员,gōngwùyuán,名
2810,高等,公益,gōngyì,名
2811,高等,公益性,gōngyìxìng,名
2812,高等,公用,gōngyòng,动
2813,高等,公寓,gōngyù,名
2814,四级,公元,gōngyuán,名
2815,二级,公园,gōngyuán,名
2816,高等,公约,gōngyuē,名
2817,五级,公正,gōngzhèng,形
2818,高等,公证,gōngzhèng,动
2819,高等,公职,gōngzhí,名
2820,六级,公众,gōngzhòng,名
2821,六级,公主,gōngzhǔ,名
2822,高等,功,gōng,名
2823,高等,功臣,gōngchén,名
2824,高等,功底,gōngdǐ,名
2825,三级,功夫,gōngfu,名
2826,三级,功课,gōngkè,名
2827,高等,功劳,gōngláo,名
2828,高等,功力,gōnglì,名
2829,高等,功率,gōnglǜ,名
2830,三级,功能,gōngnéng,名
2831,高等,功效,gōngxiào,名
2832,高等,攻,gōng,动
2833,高等,攻读,gōngdú,动
2834,高等,攻关,gōngguān,动
2835,六级,攻击,gōngjī,动
2836,高等,供,gōng,动
2837,高等,供不应求,gōngbúyìngqiú,
2838,六级,供给,gōngjǐ,动
2839,高等,供暖,gōngnuǎn,动
2840,高等,供求,gōngqiú,名
2841,四级,供应,gōngyìng,动
2842,六级,宫,gōng,名
2843,高等,宫殿,gōngdiàn,名
2844,高等,宫廷,gōngtíng,名
2845,高等,恭维,gōng·wéi,动
2846,高等,恭喜,gōngxǐ,动
2847,六级,巩固,gǒnggù,形、动
2848,高等,拱,gǒng,动
2849,四级,共,gòng,副
2850,五级,共计,gòngjì,动
2851,高等,共鸣,gòngmíng,动
2852,高等,共识,gòngshí,名
2853,三级,共同,gòngtóng,形
2854,高等,共同体,gòngtóngtǐ,名
2855,五级,共享,gòngxiǎng,动
2856,高等,共性,gòngxìng,名
2857,三级,共有,gòngyǒu,动
2858,六级,贡献,gòngxiàn,动、名
2859,高等,供奉,gòngfèng,动、名
2860,高等,勾,gōu,动
2861,高等,勾画,gōuhuà,动
2862,高等,勾结,gōujié,动
2863,五级,沟,gōu,名
2864,五级,沟通,gōutōng,动
2865,高等,钩,gōu,动
2866,高等,钩子,gōuzi,名
2867,二级,狗,gǒu,名
2868,四级,构成,gòuchéng,动
2869,六级,构建,gòujiàn,动
2870,高等,构思,gòusī,动
2871,高等,构想,gòuxiǎng,动、名
2872,四级,构造,gòuzào,名
2873,高等,购,gòu,动
2874,四级,购买,gòumǎi,动
2875,四级,购物,gòuwù,动
2876,二级,够,gòu,动、副
2877,高等,够呛,gòuqiàng,形
2878,五级,估计,gūjì,动
2879,高等,估算,gūsuàn,动
2880,高等,沽名钓誉,gūmíng-diàoyù,
2881,高等,孤单,gūdān,形
2882,六级,孤独,gūdú,形
2883,六级,孤儿,gū’ér,名
2884,高等,孤立,gūlì,形、动
2885,高等,孤零零,gūlínglíng,形
2886,高等,孤陋寡闻,gūlòu-guǎwén,
2887,六级,姑姑,gūgu,名
2888,三级,姑娘,gūniang,名
2889,高等,辜负,gūfù,动
2890,三级,古,gǔ,形
2891,三级,古代,gǔdài,名
2892,六级,古典,gǔdiǎn,形
2893,高等,古董,gǔdǒng,名
2894,高等,古怪,gǔguài,形
2895,高等,古迹,gǔjì,名
2896,高等,古今中外,gǔjīn-zhōngwài,
2897,五级,古老,gǔlǎo,形
2898,高等,古朴,gǔpǔ,形
2899,高等,古人,gǔrén,名
2900,六级,股,gǔ,量
2901,六级,股东,gǔdōng,名
2902,高等,股份,gǔfèn,名
2903,高等,股民,gǔmín,名
2904,六级,股票,gǔpiào,名
2905,高等,股市,gǔshì,名
2906,高等,骨干,gǔgàn,名
2907,高等,骨气,gǔqì,名
2908,四级,骨头,gǔtou,名
2909,高等,骨折,gǔzhé,动
2910,五级,鼓,gǔ,名、动
2911,高等,鼓动,gǔdòng,动
2912,五级,鼓励,gǔlì,动、名
2913,高等,鼓舞,gǔwǔ,动、形
2914,五级,鼓掌,gǔ∥zhǎng,
2915,四级,固定,gùdìng,形、动
2916,高等,固然,gùrán,连
2917,高等,固执,gùzhi,形
2918,高等,故,gù,副、连
2919,二级,故事,gùshi,名
2920,三级,故乡,gùxiāng,名
2921,二级,故意,gùyì,副
2922,六级,故障,gùzhàng,名
2923,六级,顾,gù,动
2924,高等,顾不得,gùbu ·dé,
2925,高等,顾不上,gùbushàng,
2926,高等,顾及,gùjí,动
2927,二级,顾客,gùkè,名
2928,高等,顾虑,gùlǜ,名、动
2929,高等,顾全大局,gùquán-dàjú,
2930,五级,顾问,gùwèn,名
2931,高等,雇,gù,动
2932,高等,雇佣,gùyōng,动
2933,高等,雇员,gùyuán,名
2934,高等,雇主,gùzhǔ,名
2935,四级,瓜,guā,名
2936,高等,瓜分,guāfēn,动
2937,高等,瓜子,guāzǐ,名
2938,六级,刮,guā,动
2939,高等,刮风,guā fēng,
2940,高等,寡妇,guǎfu,名
2941,三级,挂,guà,动
2942,高等,挂钩,guàgōu,名
2943,高等,挂号,guà∥hào,
2944,高等,挂念,guàniàn,动
2945,高等,挂失,guà∥shī,
2946,高等,乖,guāi,形
2947,高等,乖巧,guāiqiǎo,形
2948,六级,拐,guǎi,动
2949,高等,拐弯,guǎi∥wān,
2950,高等,怪,guǎizhàng,名
2951,四级,怪,guài,形、副
2952,五级,怪（动）,guài,动
2953,高等,怪不得,guàibude,副、动
2954,高等,怪物,guàiwu,名
2955,高等,关,guàiyì,形
2956,一级,关,guān,动
2957,四级,关（名）,guān,名
2958,六级,关爱,guān’ài,动
2959,四级,关闭,guānbì,动
2960,高等,关掉,guāndiào,
2961,五级,关怀,guānhuái,动
2962,二级,关机,guān∥jī,
2963,五级,关键,guānjiàn,名
2964,高等,关节,guānjié,名
2965,六级,关联,guānlián,动
2966,一级,关上,guānshang,
2967,高等,关税,guānshuì,名
2968,高等,关头,guāntóu,名
2969,三级,关系,guān·xì,名、动
2970,二级,关心,guānxīn,动
2971,四级,关于,guānyú,介
2972,高等,关照,guānzhào,动
2973,三级,关注,guānzhù,动
2974,高等,观测,guāncè,动
2975,三级,观察,guānchá,动
2976,二级,观点,guāndiǎn,名
2977,高等,观感,guāngǎn,名
2978,六级,观光,guānguāng,动
2979,三级,观看,guānkàn,动
2980,高等,观摩,guānmó,动
2981,三级,观念,guānniàn,名
2982,高等,观赏,guānshǎng,动
2983,高等,观望,guānwàng,动
2984,三级,观众,guānzhòng,名
2985,四级,官,guān,名
2986,高等,官兵,guānbīng,名
2987,四级,官方,guānfāng,名
2988,高等,官吏,guānlì,名
2989,高等,官僚,guānliáo,名
2990,高等,官僚主义,guānliáo zhǔyì,
2991,六级,官司,guānsi,名
2992,高等,官员,guānyuán,名
2993,高等,棺材,guāncai,名
2994,三级,管,guǎn,动
2995,六级,管道,guǎndào,名
2996,高等,管家,guǎnjiā,名
2997,高等,管教,guǎnjiào,动、名
2998,三级,管理,guǎnlǐ,动
2999,高等,管理费,guǎnlǐfèi,名
3000,高等,管辖,guǎnxiá,动
3001,高等,管用,guǎn∥yòng,
3002,高等,管子,guǎnzi,名
3003,高等,贯彻,guànchè,动
3004,高等,贯穿,guànchuān,动
3005,高等,贯通,guàntōng,动
3006,五级,冠军,guànjūn,名
3007,高等,惯,guàn,动
3008,高等,惯例,guànlì,名
3009,高等,惯性,guànxìng,名
3010,高等,灌,guàn,动
3011,高等,灌溉,guàngài,动
3012,高等,灌输,guànshū,动
3013,高等,罐,guàn,名
3014,高等,罐头,guàntou,名
3015,三级,光,guāng,副、名、形
3016,高等,光彩,guāngcǎi,名、形
3017,高等,光碟,guāngdié,名
3018,高等,光顾,guānggù,动
3019,高等,光滑,guānghuá,形
3020,高等,光环,guānghuán,名
3021,六级,光辉,guānghuī,名、形
3022,高等,光缆,guānglǎn,名
3023,四级,光临,guānglín,动
3024,高等,光芒,guāngmáng,名
3025,三级,光明,guāngmíng,形、名
3026,高等,光明磊落,guāngmíng-lěiluò,
3027,四级,光盘,guāngpán,名
3028,五级,光荣,guāngróng,形、名
3029,五级,光线,guāngxiàn,名
3030,高等,光泽,guāngzé,名
3031,五级,广,guǎng,形
3032,三级,广播,guǎngbō,动、名
3033,二级,广场,guǎngchǎng,名
3034,三级,广大,guǎngdà,形
3035,五级,广泛,guǎngfàn,形
3036,二级,广告,guǎnggào,名
3037,六级,广阔,guǎngkuò,形
3038,高等,广义,guǎngyì,名
3039,四级,逛,guàng,动
3040,四级,归,guī,动
3041,高等,归根到底,guīgēn-dàodǐ,
3042,高等,归还,guīhuán,动
3043,高等,归结,guījié,动
3044,高等,归来,guīlái,动
3045,高等,归纳,guīnà,动
3046,高等,归属,guīshǔ,动
3047,高等,归宿,guīsù,名
3048,高等,龟,guī,名
3049,三级,规定,guīdìng,动、名
3050,三级,规范,guīfàn,形、名、动
3051,高等,规格,guīgé,名
3052,五级,规划,guīhuà,名、动
3053,高等,规矩,guīju,名、形
3054,四级,规律,guīlǜ,名
3055,四级,规模,guīmó,名
3056,四级,规则,guīzé,名、形
3057,高等,闺女,guīnü,名
3058,高等,瑰宝,guībǎo,名
3059,六级,轨道,guǐdào,名
3060,高等,轨迹,guǐjì,名
3061,五级,鬼,guǐ,名
3062,高等,柜台,guìtái,名
3063,五级,柜子,guìzi,名
3064,一级,贵,guì,形
3065,高等,贵宾,guìbīn,名
3066,高等,贵重,guìzhòng,形
3067,高等,贵族,guìzú,名
3068,高等,桂花,guìhuā,名
3069,六级,跪,guì,动
3070,五级,滚,gǔn,动
3071,高等,滚动,gǔndòng,动
3072,高等,棍,gùn,名
3073,高等,棍子,gùnzi,名
3074,五级,锅,guō,名
3075,一级,国,guó,名
3076,高等,国宝,guóbǎo,名
3077,六级,国产,guóchǎn,形
3078,高等,国防,guófáng,名
3079,六级,国歌,guógē,名
3080,高等,国画,guóhuà,名
3081,高等,国徽,guóhuī,名
3082,六级,国会,guóhuì,名
3083,五级,国籍,guójí,名
3084,二级,国际,guójì,名
3085,一级,国家,guójiā,名
3086,五级,国民,guómín,名
3087,三级,国内,guó nèi,
3088,六级,国旗,guóqí,名
3089,高等,国情,guóqíng,名
3090,三级,国庆,guóqìng,名
3091,高等,国土,guótǔ,名
3092,一级,国外,guó wài,
3093,六级,国王,guówáng,名
3094,高等,国学,guóxué,名
3095,高等,国有,guóyǒu,动
3096,高等,果断,guǒduàn,形
3097,六级,果酱,guǒjiàng,名
3098,三级,果然,guǒrán,副
3099,四级,果实,guǒshí,名
3100,六级,果树,guǒshù,名
3101,高等,果园,guǒyuán,名
3102,高等,果真,guǒzhēn,副、连
3103,三级,果汁,guǒzhī,名
3104,高等,裹,guǒ,动
3105,一级,过,guò,动
3106,高等,过半,guòbàn,动
3107,高等,过不去,guòbuqù,动
3108,三级,过程,guòchéng,名
3109,高等,过错,guòcuò,名
3110,高等,过道,guòdào,名
3111,五级,过度,guòdù,形
3112,六级,过渡,guòdù,动
3113,四级,过分,guò∥fèn,
3114,高等,过关,guò∥guān,
3115,六级,过后,guòhòu,名
3116,高等,过奖,guòjiǎng,动
3117,高等,过节,guò∥jié,
3118,高等,过境,guò∥jìng,
3119,二级,过来,guò·lái,动
3120,高等,过滤,guòlǜ,动
3121,五级,过敏,guòmǐn,动、形
3122,二级,过年,guò∥nián,
3123,高等,过去,guò∥qī,
3124,三级,过去,guòqù,名
3125,二级,过去（动）,guò·qù,动
3126,高等,过日子,guò rìzi,
3127,高等,过剩,guòshèng,动
3128,高等,过失,guòshī,名
3129,六级,过时,guòshí,形
3130,高等,过头,guò∥tóu,
3131,高等,过往,guòwǎng,动、名
3132,高等,过意不去,guòyìbúqù,
3133,高等,过瘾,guò∥yǐn,
3134,高等,过硬,guò∥yìng,
3135,五级,过于,guòyú,副
3136,高等,过早,guò zǎo,
3137,二级,过,guo,助
3138,三级,哈哈,hāhā,拟声
3139,一级,还,hái,副
3140,一级,还是,háishi,副、连
3141,一级,还有,hái yǒu,
3142,一级,孩子,háizi,名
3143,二级,海,hǎi,名
3144,高等,海岸,hǎi’àn,名
3145,高等,海拔,hǎibá,名
3146,六级,海报,hǎibào,名
3147,二级,海边,hǎi biān,
3148,高等,海滨,hǎibīn,名
3149,高等,海盗,hǎidào,名
3150,六级,海底,hǎidǐ,名
3151,三级,海关,hǎiguān,名
3152,六级,海军,hǎijūn,名
3153,六级,海浪,hǎilàng,名
3154,高等,海量,hǎiliàng,名
3155,高等,海绵,hǎimián,名
3156,高等,海面,hǎimiàn,名
3157,高等,海内外,hǎi nèiwài,
3158,四级,海水,hǎishuǐ,名
3159,高等,海滩,hǎitān,名
3160,六级,海外,hǎiwài,名
3161,六级,海湾,hǎiwān,名
3162,高等,海峡,hǎixiá,名
3163,四级,海鲜,hǎixiān,名
3164,高等,海啸,hǎixiào,名
3165,六级,海洋,hǎiyáng,名
3166,高等,海域,hǎiyù,名
3167,高等,海运,hǎiyùn,动
3168,高等,海藻,hǎizǎo,名
3169,高等,骇人听闻,hàiréntīngwén,
3170,五级,害,hài,名、动
3171,高等,害虫,hàichóng,名
3172,三级,害怕,hài∥pà,
3173,高等,害臊,hài∥sào,
3174,高等,害羞,hài∥xiū,
3175,高等,酣畅,hānchàng,形
3176,高等,酣睡,hānshuì,动
3177,四级,含,hán,动
3178,高等,含糊,hánhu,形
3179,四级,含量,hánliàng,名
3180,高等,含蓄,hánxù,动、形
3181,四级,含义,hányì,名
3182,四级,含有,hányǒu,动
3183,高等,函授,hánshòu,动
3184,高等,涵盖,hángài,动
3185,高等,涵义,hányì,名
3186,四级,寒假,hánjià,名
3187,四级,寒冷,hánlěng,形
3188,高等,罕见,hǎnjiàn,形
3189,二级,喊,hǎn,动
3190,一级,汉语,Hànyǔ,名
3191,一级,汉字,Hànzì,名
3192,五级,汗,hàn,名
3193,高等,汗水,hànshuǐ,名
3194,高等,旱,hàn,形
3195,高等,旱灾,hànzāi,名
3196,高等,捍卫,hànwèi,动
3197,高等,焊,hàn,动
3198,三级,行,háng,量
3199,高等,行家,hángjia,名
3200,高等,行列,hángliè,名
3201,高等,行情,hángqíng,名
3202,四级,行业,hángyè,名
3203,四级,航班,hángbān,名
3204,高等,航海,hánghǎi,动
3205,四级,航空,hángkōng,动
3206,高等,航天,hángtiān,动
3207,高等,航天员,hángtiānyuán,名
3208,高等,航行,hángxíng,动
3209,高等,航运,hángyùn,名
3210,高等,毫不,háo bù,
3211,高等,毫不犹豫,háo bù yóuyù,
3212,四级,毫米,háomǐ,量
3213,四级,毫升,háoshēng,量
3214,高等,毫无,háo wú,
3215,高等,好,háohuá,形
3216,一级,好,hǎo,形
3217,二级,好（副）,hǎo,副
3218,高等,好比,hǎobǐ,动
3219,六级,好（不）容易,hǎo(bù)róngyì,形
3220,一级,好吃,hǎochī,形
3221,二级,好处,hǎochù,名
3222,高等,好歹,hǎodǎi,名、副
3223,二级,好多,hǎoduō,数
3224,高等,好感,hǎogǎn,名
3225,三级,好好,hǎohǎo,形、副
3226,高等,好坏,hǎohuài,名
3227,高等,好家伙,hǎojiāhuo,叹
3228,二级,好久,hǎojiǔ,形
3229,一级,好看,hǎokàn,形
3230,高等,好评,hǎopíng,名
3231,二级,好人,hǎorén,名
3232,二级,好事,hǎoshì,名
3233,高等,好说,hǎoshuō,动
3234,六级,好似,hǎosì,动
3235,一级,好听,hǎotīng,形
3236,一级,好玩儿,hǎowánr,形
3237,二级,好像,hǎoxiàng,副、动
3238,高等,好笑,hǎoxiào,形
3239,高等,好心,hǎoxīn,名
3240,高等,好心人,hǎoxīnrén,名
3241,高等,好意,hǎoyì,名
3242,四级,好友,hǎoyǒu,名
3243,五级,好运,hǎoyùn,名
3244,高等,好在,hǎozài,副
3245,六级,好转,hǎozhuǎn,动
3246,一级,号,hào,名、量
3247,高等,号称,hàochēng,动
3248,四级,号码,hàomǎ,名
3249,五级,号召,hàozhào,动、名
3250,四级,好,hào,动
3251,高等,好客,hàokè,形
3252,三级,好奇,hàoqí,形
3253,高等,好奇心,hàoqíxīn,名
3254,六级,好学,hàoxué,动
3255,高等,耗,hào,动
3256,高等,耗费,hàofèi,动
3257,高等,耗时,hàoshí,动
3258,高等,浩劫,hàojié,名
3259,高等,呵护,hēhù,动
3260,一级,喝,hē,动
3261,高等,禾苗,hémiáo,名
3262,三级,合,hé,动
3263,五级,合并,hébìng,动
3264,高等,合唱,héchàng,动
3265,五级,合成,héchéng,动
3266,三级,合法,héfǎ,形
3267,三级,合格,hégé,形
3268,高等,合乎,héhū,动
3269,高等,合伙,héhuǒ,动
3270,高等,合计,héjì,动
3271,三级,合理,hélǐ,形
3272,高等,合情合理,héqíng-hélǐ,
3273,二级,合适,héshì,形
3274,四级,合同,hé·tóng,名
3275,高等,合影,hé∥yǐng,
3276,六级,合约,héyuē,名
3277,高等,合资,hézī,动
3278,三级,合作,hézuò,动
3279,高等,合作社,hézuòshè,名
3280,高等,何必,hébì,副
3281,高等,何处,hé chù,
3282,高等,何苦,hékǔ,副
3283,高等,何况,hékuàng,连
3284,高等,何时,hé shí,
3285,一级,和,hé,介、连
3286,高等,和蔼,hé’ǎi,形
3287,高等,和解,héjiě,动
3288,高等,和睦,hémù,形
3289,三级,和平,hépíng,名
3290,高等,和平共处,hépíng gòngchǔ,
3291,高等,和气,héqi,形、名
3292,高等,和尚,héshang,名
3293,六级,和谐,héxié,形
3294,二级,河,hé,名
3295,高等,河流,héliú,名
3296,高等,河畔,hépàn,名
3297,高等,荷花,héhuā,名
3298,高等,核,hé,名
3299,高等,核电站,hédiànzhàn,名
3300,高等,核对,héduì,动
3301,高等,核能,hénéng,名
3302,高等,核实,héshí,动
3303,高等,核桃,hétao,名
3304,高等,核武器,héwǔqì,名
3305,六级,核心,héxīn,名
3306,五级,盒,hé,名、量
3307,五级,盒饭,héfàn,名
3308,五级,盒子,hézi,名
3309,高等,贺电,hèdiàn,名
3310,五级,贺卡,hèkǎ,名
3311,高等,贺信,hèxìn,名
3312,高等,喝彩,hè∥cǎi,
3313,高等,赫然,hèrán,形
3314,高等,鹤立鸡群,hèlìjīqún,
3315,二级,黑,hēi,形
3316,四级,黑暗,hēi’àn,形
3317,高等,黑白,hēibái,名
3318,二级,黑板,hēibǎn,名
3319,高等,黑客,hēikè,名
3320,高等,黑马,hēimǎ,名
3321,二级,黑色,hēisè,名
3322,高等,黑手,hēishǒu,名
3323,高等,黑心,hēixīn,形、名
3324,六级,黑夜,hēiyè,名
3325,高等,嘿,hēi,叹
3326,高等,痕迹,hénjì,名
3327,一级,很,hěn,副
3328,六级,很难说,hěn nánshuō,
3329,六级,狠,hěn,形
3330,五级,恨,hèn,动
3331,高等,恨不得,hènbude,动
3332,高等,哼,hēng,动
3333,六级,横,héng,动、形
3334,高等,横七竖八,héngqī-shùbā,
